experiment,method,n_views,n_total,n_objects,n_planes_predicted_mean,n_true_planes_mean,n_planes_matched_mean,recall_planes_mean,precision_planes_mean,sde_ref_mean,sde_ref_min,sde_ref_max,f1_ref,f1_ref_hungarian
plane_v00_1_nomesh,triangulation_multiplane,6,850,737,1.0,1.1805,0.3161,0.2933,0.3161,0.0212219,4.71e-06,0.45160479,0.1483,0.1605
plane_v00_1_nomesh,triangulation_multiplane,14,850,582,1.9416,1.1959,0.9021,0.8159,0.4768,0.01423422,2.8e-06,0.42853481,0.4424,0.4157
plane_v00_1_nomesh,triangulation_multiplane,26,850,837,2.3596,1.1924,0.8757,0.763,0.4241,0.01451056,1.22e-06,0.61754945,0.1711,0.1842
plane_v00_nomesh,triangulation_multiplane,6,850,833,1.0,1.1945,0.4118,0.3681,0.4118,0.07293137,4.11e-06,3.00975382,0.144,0.1567
plane_v00_nomesh,triangulation_multiplane,14,850,777,1.9704,1.1853,0.6873,0.6347,0.3514,0.02961036,1.83e-06,0.90348984,0.2809,0.2773
plane_v00_nomesh,triangulation_multiplane,26,850,810,2.3506,1.1951,0.6753,0.5951,0.3311,0.02630705,2.01e-06,0.82018392,0.133,0.1442
plane_v01_1_nomesh,triangulation_multiplane,6,850,847,1.0,1.1936,0.1251,0.0726,0.1251,0.0161853,4.44e-06,0.23268312,0.0722,0.071
plane_v01_1_nomesh,triangulation_multiplane,14,850,847,1.9587,1.1913,0.0224,0.0163,0.0112,0.03954021,0.00021869,0.47729683,0.0013,0.0015
plane_v01_1_nomesh,triangulation_multiplane,26,850,844,2.0012,1.1943,0.0166,0.0122,0.0083,0.04538129,0.00032646,0.88051969,0.0005,0.0006
plane_v01_nomesh,triangulation_multiplane,6,850,846,1.0,1.1939,0.1277,0.0774,0.1277,0.0182364,3.35e-06,0.31739587,0.0671,0.0679
plane_v01_nomesh,triangulation_multiplane,14,850,846,1.9563,1.1915,0.0177,0.0136,0.0089,0.04402324,0.00037766,0.4654549,0.002,0.0023
plane_v01_nomesh,triangulation_multiplane,26,850,840,2.0012,1.1952,0.0202,0.0161,0.0097,0.05186373,0.00030507,3.28730826,0.0013,0.0015
plane_v02_1_nomesh,triangulation_multiplane,6,850,717,1.0,1.1841,0.4073,0.3689,0.4073,0.01696518,4.33e-06,0.25995924,0.2035,0.2206
plane_v02_1_nomesh,triangulation_multiplane,14,850,544,1.9467,1.1912,0.8879,0.8076,0.4669,0.01500576,3.91e-06,0.27588139,0.4137,0.3881
plane_v02_1_nomesh,triangulation_multiplane,26,850,779,2.1823,1.1887,0.8434,0.7373,0.4548,0.01378865,1.71e-06,0.48470275,0.2069,0.2228
plane_v02_nomesh,triangulation_multiplane,6,850,792,1.0,1.1869,0.5164,0.4644,0.5164,0.01352913,1.89e-06,0.26636568,0.2588,0.2809
plane_v02_nomesh,triangulation_multiplane,14,850,658,1.9316,1.1809,0.8982,0.8209,0.4764,0.01422261,5.62e-06,0.27380926,0.428,0.4011
plane_v02_nomesh,triangulation_multiplane,26,850,828,2.1268,1.1944,0.8551,0.7532,0.4839,0.01309238,9e-08,0.50413681,0.2174,0.2353
plane_v03_1_nomesh,triangulation_multiplane,6,850,838,1.0,1.1945,0.1659,0.103,0.1659,0.02230611,1.87e-06,0.5422141,0.0767,0.0805
plane_v03_1_nomesh,triangulation_multiplane,14,850,841,1.9477,1.1914,0.0309,0.025,0.0155,0.04680456,1.135e-05,0.51575962,0.0068,0.0076
plane_v03_1_nomesh,triangulation_multiplane,26,850,826,2.0048,1.1973,0.0133,0.0105,0.0073,0.05231006,2.001e-05,1.99182193,0.0015,0.0017
plane_v03_nomesh,triangulation_multiplane,6,850,843,1.0,1.1945,0.1732,0.1089,0.1732,0.0200724,2.194e-05,0.29940179,0.0829,0.0862
plane_v03_nomesh,triangulation_multiplane,14,850,840,1.9512,1.1952,0.0238,0.0192,0.0125,0.04826466,5.71e-05,1.00648889,0.0027,0.003
plane_v03_nomesh,triangulation_multiplane,26,850,823,2.0012,1.1993,0.017,0.0128,0.0089,0.0582822,2.399e-05,2.86321674,0.0029,0.0032
plane_v04_1_nomesh,triangulation_multiplane,6,850,707,1.0,1.1754,0.2291,0.2136,0.2291,0.02112839,5.62e-06,0.23904589,0.1146,0.1239
plane_v04_1_nomesh,triangulation_multiplane,14,850,553,1.8915,1.1682,0.9313,0.8544,0.5181,0.01193482,3.58e-06,0.20172044,0.4819,0.435
