experiment,method,n_views,n_total,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,translation_error_normalized_mean,translation_error_normalized_median,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg,sde_ref_mean,sde_ref_min,sde_ref_max
axis_v00_1_nomesh,triangulation,6,850,791,59.5858,62.4814,22.3329,1.049133,0.375279,1.75506,0.969169,0.343498,0.0921,5.92,0.0035,0.0129,0.0376,0.04918848,1.324e-05,1.53709345
axis_v00_1_nomesh,triangulation,14,850,789,59.2989,62.5569,22.4851,0.670072,0.341493,0.786966,0.620566,0.316961,0.0943,13.82,0.0035,0.0141,0.0329,0.05074493,1.402e-05,1.34502821
axis_v00_1_nomesh,triangulation,26,850,828,57.7794,61.1501,22.0187,0.603244,0.292038,0.806752,0.558192,0.286683,0.1002,25.77,0.0035,0.0129,0.0365,0.0559783,1.402e-05,2.21060711
axis_v00_nomesh,triangulation,6,850,793,59.0896,61.8778,22.2166,0.503985,0.078014,1.261171,0.46681,0.072255,0.0935,5.9,0.0059,0.0153,0.0365,0.05659244,0.00017439,1.75071701
axis_v00_nomesh,triangulation,14,850,745,61.7163,66.4738,23.383,0.309435,0.062598,0.590284,0.287154,0.058369,0.0905,13.64,0.0047,0.0224,0.0459,0.06008648,0.00017161,2.13824528
axis_v00_nomesh,triangulation,26,850,781,59.9108,62.6981,22.899,0.283895,0.091011,0.437301,0.263906,0.086437,0.0952,25.81,0.0035,0.0141,0.0365,0.07671359,0.00016982,2.71052008
axis_v01_1_nomesh,triangulation,6,850,827,60.1959,64.5176,22.4156,0.11568,0.063549,0.161605,0.106552,0.058677,0.0933,5.88,0.0035,0.0153,0.0353,0.04120124,0.00053648,0.71694428
axis_v01_1_nomesh,triangulation,14,850,821,60.4135,65.1172,22.7661,0.069022,0.045054,0.088844,0.062912,0.041079,0.0963,13.71,0.0024,0.0141,0.0376,0.04611028,0.00047399,0.74460412
axis_v01_1_nomesh,triangulation,26,850,832,60.6804,64.4111,21.0521,0.096367,0.067405,0.112398,0.088693,0.062321,0.0792,25.53,0.0,0.0129,0.0259,0.08018983,0.00038376,3.56987013
axis_v01_nomesh,triangulation,6,850,818,59.8895,64.6248,23.2294,0.119799,0.065746,0.172383,0.109652,0.061512,0.1022,5.86,0.0035,0.0188,0.04,0.04321789,0.00016097,0.6877491
