symmetry_type,prompt_id,experiment_id,n_views,secuencial (bug),correcto (espaciado),otro/inesperado,n_total_checkeado,pct_correcto
axis_sym,axis_v00,axis_v00,1,0,850,0,850,100.0
axis_sym,axis_v00,axis_v00,6,0,850,0,850,100.0
axis_sym,axis_v00,axis_v00,14,0,850,0,850,100.0
axis_sym,axis_v00,axis_v00,26,0,850,0,850,100.0
axis_sym,axis_v00_1,axis_v00_1,1,0,850,0,850,100.0
axis_sym,axis_v00_1,axis_v00_1,6,0,850,0,850,100.0
axis_sym,axis_v00_1,axis_v00_1,14,0,850,0,850,100.0
axis_sym,axis_v00_1,axis_v00_1,26,0,850,0,850,100.0
axis_sym,axis_v01,axis_v01,1,0,850,0,850,100.0
axis_sym,axis_v01,axis_v01,6,0,850,0,850,100.0
axis_sym,axis_v01,axis_v01,14,0,850,0,850,100.0
axis_sym,axis_v01,axis_v01,26,0,850,0,850,100.0
axis_sym,axis_v01_1,axis_v01_1,1,0,850,0,850,100.0
axis_sym,axis_v01_1,axis_v01_1,6,0,850,0,850,100.0
axis_sym,axis_v01_1,axis_v01_1,14,0,850,0,850,100.0
axis_sym,axis_v01_1,axis_v01_1,26,0,850,0,850,100.0
axis_sym,axis_v02,axis_v02,1,0,850,0,850,100.0
axis_sym,axis_v02,axis_v02,6,0,850,0,850,100.0
axis_sym,axis_v02,axis_v02,14,0,850,0,850,100.0
axis_sym,axis_v02,axis_v02,26,0,850,0,850,100.0
axis_sym,axis_v02_1,axis_v02_1,1,0,850,0,850,100.0
axis_sym,axis_v02_1,axis_v02_1,6,0,850,0,850,100.0
axis_sym,axis_v02_1,axis_v02_1,14,0,850,0,850,100.0
axis_sym,axis_v02_1,axis_v02_1,26,0,850,0,850,100.0
axis_sym,axis_v03,axis_v03,1,0,850,0,850,100.0
axis_sym,axis_v03,axis_v03,6,0,850,0,850,100.0
axis_sym,axis_v03,axis_v03,14,0,850,0,850,100.0
axis_sym,axis_v03,axis_v03,26,0,850,0,850,100.0
axis_sym,axis_v03_1,axis_v03_1,1,0,850,0,850,100.0
axis_sym,axis_v03_1,axis_v03_1,6,0,850,0,850,100.0
axis_sym,axis_v03_1,axis_v03_1,14,0,850,0,850,100.0
axis_sym,axis_v03_1,axis_v03_1,26,0,850,0,850,100.0
axis_sym,axis_v04,axis_v04,1,0,850,0,850,100.0
axis_sym,axis_v04,axis_v04,6,0,850,0,850,100.0
axis_sym,axis_v04,axis_v04,14,0,850,0,850,100.0
axis_sym,axis_v04,axis_v04,26,0,850,0,850,100.0
axis_sym,axis_v04_1,axis_v04_1,1,0,850,0,850,100.0
axis_sym,axis_v04_1,axis_v04_1,6,0,850,0,850,100.0
axis_sym,axis_v04_1,axis_v04_1,14,0,850,0,850,100.0
axis_sym,axis_v04_1,axis_v04_1,26,0,850,0,850,100.0
axis_sym,axis_v05,axis_v05,1,0,850,0,850,100.0
axis_sym,axis_v05,axis_v05,6,0,850,0,850,100.0
axis_sym,axis_v05,axis_v05,14,0,850,0,850,100.0
axis_sym,axis_v05,axis_v05,26,0,850,0,850,100.0
axis_sym,axis_v05_1,axis_v05_1,1,0,850,0,850,100.0
axis_sym,axis_v05_1,axis_v05_1,6,0,850,0,850,100.0
axis_sym,axis_v05_1,axis_v05_1,14,0,850,0,850,100.0
axis_sym,axis_v05_1,axis_v05_1,26,0,850,0,850,100.0
axis_sym,axis_v05_1,axis_v05_1_flowB,1,0,850,0,850,100.0
axis_sym,axis_v05_1,axis_v05_1_flowB,6,0,850,0,850,100.0
axis_sym,axis_v05_1,axis_v05_1_flowB,14,0,850,0,850,100.0
