experiment,method,n_views,n_objects,sde_ref_mean,sde_ref_min,sde_ref_max,f1_ref
axis_v00,ransac_svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00,ransac_svd,14,664,0.04997788566599023,3.2333019065269535e-05,0.49497147041772327,
axis_v00,ransac_svd,26,506,0.0556069080231849,2.9966552654289547e-05,0.45053907679558364,
axis_v00,ransac_svd,6,547,0.04502185891508876,3.419860684067881e-05,0.41362606129536894,
axis_v00,ransac_svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00,ransac_svd_sde,14,664,0.04997788566599023,3.2333019065269535e-05,0.49497147041772327,
axis_v00,ransac_svd_sde,26,506,0.0556069080231849,2.9966552654289547e-05,0.45053907679558364,
axis_v00,ransac_svd_sde,6,547,0.04502185891508876,3.419860684067881e-05,0.41362606129536894,
axis_v00,svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00,svd,14,664,0.022383421934901858,1.7193735497452777e-06,0.40860715796334457,
axis_v00,svd,26,506,0.028265776261334485,0.00014094433237684542,0.45053907679558364,
axis_v00,svd,6,547,0.026182539867161462,3.419860684067881e-05,0.4052983396223494,
axis_v00,svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00,svd_sde,14,664,0.022383421934901858,1.7193735497452777e-06,0.40860715796334457,
axis_v00,svd_sde,26,506,0.028265776261334485,0.00014094433237684542,0.45053907679558364,
axis_v00,svd_sde,6,547,0.026182539867161462,3.419860684067881e-05,0.4052983396223494,
axis_v00_1,ransac_svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1,ransac_svd,14,784,0.05083144709292569,2.3356417962445867e-05,0.520654871828121,
axis_v00_1,ransac_svd,26,667,0.04525069068770319,4.365109082226218e-06,0.5370166997563127,
axis_v00_1,ransac_svd,6,751,0.04331029344094401,3.3447906260638874e-05,0.362615339962638,
axis_v00_1,ransac_svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1,ransac_svd_sde,14,784,0.05083144709292569,2.3356417962445867e-05,0.520654871828121,
axis_v00_1,ransac_svd_sde,26,667,0.04525069068770319,4.365109082226218e-06,0.5370166997563127,
axis_v00_1,ransac_svd_sde,6,751,0.04331029344094401,3.3447906260638874e-05,0.362615339962638,
axis_v00_1,svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1,svd,14,784,0.02197859809238594,1.2372474526475816e-05,0.520654871828121,
axis_v00_1,svd,26,667,0.015871143168265364,4.365109082226218e-06,0.450971457204711,
axis_v00_1,svd,6,751,0.024556958510299612,1.8683762516100964e-05,0.3410477839371025,
axis_v00_1,svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1,svd_sde,14,784,0.02197859809238594,1.2372474526475816e-05,0.520654871828121,
axis_v00_1,svd_sde,26,667,0.015871143168265364,4.365109082226218e-06,0.450971457204711,
axis_v00_1,svd_sde,6,751,0.024556958510299612,1.8683762516100964e-05,0.3410477839371025,
axis_v00_1_cluster,ransac_svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_cluster,ransac_svd,14,778,0.050124911171838565,6.590235318786324e-05,0.520654871828121,
axis_v00_1_cluster,ransac_svd,26,661,0.047793750615826365,4.365109082226218e-06,0.5366874402791557,
axis_v00_1_cluster,ransac_svd,6,737,0.042877856591466645,3.344790626063887e-05,0.362615339962638,
axis_v00_1_cluster,ransac_svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_cluster,ransac_svd_sde,14,778,0.050124911171838565,6.590235318786324e-05,0.520654871828121,
axis_v00_1_cluster,ransac_svd_sde,26,661,0.047793750615826365,4.365109082226218e-06,0.5366874402791557,
axis_v00_1_cluster,ransac_svd_sde,6,737,0.042877856591466645,3.344790626063887e-05,0.362615339962638,
axis_v00_1_cluster,svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_cluster,svd,14,778,0.021058441616174525,3.2500819837521432e-06,0.520654871828121,
axis_v00_1_cluster,svd,26,661,0.014771099991748214,4.365109082226218e-06,0.450971457204711,
axis_v00_1_cluster,svd,6,737,0.023441777767447266,1.8683762516100964e-05,0.3410477839371025,
axis_v00_1_cluster,svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_cluster,svd_sde,14,778,0.021058441616174525,3.2500819837521432e-06,0.520654871828121,
axis_v00_1_cluster,svd_sde,26,661,0.014771099991748214,4.365109082226218e-06,0.450971457204711,
axis_v00_1_cluster,svd_sde,6,737,0.023441777767447266,1.8683762516100964e-05,0.3410477839371025,
axis_v00_1_hdbscan_ms2,ransac_svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms2,ransac_svd,14,784,0.04163268939398241,8.600450386868316e-06,0.520654871828121,
axis_v00_1_hdbscan_ms2,ransac_svd,26,667,0.03989138300745275,4.365109082226218e-06,0.450971457204711,
axis_v00_1_hdbscan_ms2,ransac_svd,6,751,0.03344839037024321,1.4208694824419534e-05,0.3410477839371025,
axis_v00_1_hdbscan_ms2,ransac_svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms2,ransac_svd_sde,14,784,0.04163268939398241,8.600450386868316e-06,0.520654871828121,
axis_v00_1_hdbscan_ms2,ransac_svd_sde,26,667,0.03989138300745275,4.365109082226218e-06,0.450971457204711,
axis_v00_1_hdbscan_ms2,ransac_svd_sde,6,751,0.03344839037024321,1.4208694824419534e-05,0.3410477839371025,
axis_v00_1_hdbscan_ms2,svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms2,svd,14,784,0.024386713284874947,8.600450386868316e-06,0.520654871828121,
axis_v00_1_hdbscan_ms2,svd,26,667,0.016403633102782,4.365109082226218e-06,0.450971457204711,
axis_v00_1_hdbscan_ms2,svd,6,751,0.026755768175621485,1.4208694824419534e-05,0.3410477839371025,
axis_v00_1_hdbscan_ms2,svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms2,svd_sde,14,784,0.024386713284874947,8.600450386868316e-06,0.520654871828121,
axis_v00_1_hdbscan_ms2,svd_sde,26,667,0.016403633102782,4.365109082226218e-06,0.450971457204711,
axis_v00_1_hdbscan_ms2,svd_sde,6,751,0.026755768175621485,1.4208694824419534e-05,0.3410477839371025,
axis_v00_1_hdbscan_ms3,ransac_svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms3,ransac_svd,14,784,0.034900288930241996,8.600450386868316e-06,0.520654871828121,
axis_v00_1_hdbscan_ms3,ransac_svd,26,667,0.033001965154623635,4.365109082226218e-06,0.5370166997563127,
axis_v00_1_hdbscan_ms3,ransac_svd,6,751,0.03526106887676712,3.3447906260638874e-05,0.362615339962638,
axis_v00_1_hdbscan_ms3,ransac_svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms3,ransac_svd_sde,14,784,0.034900288930241996,8.600450386868316e-06,0.520654871828121,
axis_v00_1_hdbscan_ms3,ransac_svd_sde,26,667,0.033001965154623635,4.365109082226218e-06,0.5370166997563127,
axis_v00_1_hdbscan_ms3,ransac_svd_sde,6,751,0.03526106887676712,3.3447906260638874e-05,0.362615339962638,
axis_v00_1_hdbscan_ms3,svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms3,svd,14,784,0.027781156696283726,8.600450386868316e-06,0.520654871828121,
axis_v00_1_hdbscan_ms3,svd,26,667,0.020439070821651133,4.365109082226218e-06,0.450971457204711,
axis_v00_1_hdbscan_ms3,svd,6,751,0.02721781529638963,1.8683762516100964e-05,0.3410477839371025,
axis_v00_1_hdbscan_ms3,svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms3,svd_sde,14,784,0.027781156696283726,8.600450386868316e-06,0.520654871828121,
axis_v00_1_hdbscan_ms3,svd_sde,26,667,0.020439070821651133,4.365109082226218e-06,0.450971457204711,
axis_v00_1_hdbscan_ms3,svd_sde,6,751,0.02721781529638963,1.8683762516100964e-05,0.3410477839371025,
axis_v00_1_hdbscan_ms5,ransac_svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms5,ransac_svd,14,784,0.03715354773626464,2.1165596610082568e-06,0.520654871828121,
axis_v00_1_hdbscan_ms5,ransac_svd,26,667,0.031984335626984974,4.365109082226218e-06,0.5370166997563127,
axis_v00_1_hdbscan_ms5,ransac_svd,6,751,0.041033771911998335,3.3447906260638874e-05,0.362615339962638,
axis_v00_1_hdbscan_ms5,ransac_svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms5,ransac_svd_sde,14,784,0.03715354773626464,2.1165596610082568e-06,0.520654871828121,
axis_v00_1_hdbscan_ms5,ransac_svd_sde,26,667,0.031984335626984974,4.365109082226218e-06,0.5370166997563127,
axis_v00_1_hdbscan_ms5,ransac_svd_sde,6,751,0.041033771911998335,3.3447906260638874e-05,0.362615339962638,
axis_v00_1_hdbscan_ms5,svd,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms5,svd,14,784,0.028200025784115516,4.671718318545679e-05,0.520654871828121,
axis_v00_1_hdbscan_ms5,svd,26,667,0.024373104413732263,4.365109082226218e-06,0.450971457204711,
axis_v00_1_hdbscan_ms5,svd,6,751,0.025834226639392888,1.8683762516100964e-05,0.3410477839371025,
axis_v00_1_hdbscan_ms5,svd_sde,1,327,0.036747671040291176,9.041595898072744e-05,0.2683027206485622,
axis_v00_1_hdbscan_ms5,svd_sde,14,784,0.028200025784115516,4.671718318545679e-05,0.520654871828121,
axis_v00_1_hdbscan_ms5,svd_sde,26,667,0.024373104413732263,4.365109082226218e-06,0.450971457204711,
axis_v00_1_hdbscan_ms5,svd_sde,6,751,0.025834226639392888,1.8683762516100964e-05,0.3410477839371025,
axis_v00_1_p3,ransac_svd,1,366,0.036671507260954826,0.00011048749993283421,0.26233111033740375,
axis_v00_1_p3,ransac_svd,14,822,0.0489624273149143,1.0554238110694711e-05,0.5195438708759251,
axis_v00_1_p3,ransac_svd,26,688,0.047332222411849104,8.351035914095106e-07,0.5234344411823391,
axis_v00_1_p3,ransac_svd,6,777,0.04500039871611992,0.00019662575992980658,0.476870499573741,
axis_v00_1_p3,ransac_svd_sde,1,366,0.036671507260954826,0.00011048749993283421,0.26233111033740375,
axis_v00_1_p3,ransac_svd_sde,14,822,0.0489624273149143,1.0554238110694711e-05,0.5195438708759251,
axis_v00_1_p3,ransac_svd_sde,26,688,0.047332222411849104,8.351035914095106e-07,0.5234344411823391,
axis_v00_1_p3,ransac_svd_sde,6,777,0.04500039871611992,0.00019662575992980658,0.476870499573741,
axis_v00_1_p3,svd,1,366,0.036671507260954826,0.00011048749993283421,0.26233111033740375,
axis_v00_1_p3,svd,14,822,0.021316633442907088,7.569836185630108e-06,0.5195438708759251,
axis_v00_1_p3,svd,26,688,0.015212652718176803,3.0356350093663178e-05,0.4509714063931149,
axis_v00_1_p3,svd,6,777,0.024282962872224492,2.502202057122041e-05,0.34295972549289044,
axis_v00_1_p3,svd_sde,1,366,0.036671507260954826,0.00011048749993283421,0.26233111033740375,
axis_v00_1_p3,svd_sde,14,822,0.021316633442907088,7.569836185630108e-06,0.5195438708759251,
axis_v00_1_p3,svd_sde,26,688,0.015212652718176803,3.0356350093663178e-05,0.4509714063931149,
axis_v00_1_p3,svd_sde,6,777,0.024282962872224492,2.502202057122041e-05,0.34295972549289044,
axis_v00_1_p5,ransac_svd,1,409,0.03699929154793366,2.2477484087635136e-05,0.2768437006376305,
axis_v00_1_p5,ransac_svd,14,831,0.045482992055324634,6.4578392951026055e-06,0.35453463765212634,
axis_v00_1_p5,ransac_svd,26,721,0.045150427451586254,4.599553510992189e-06,0.45097119187530166,
axis_v00_1_p5,ransac_svd,6,797,0.04588493767129649,9.20945824447589e-05,0.49909725182706405,
axis_v00_1_p5,ransac_svd_sde,1,409,0.03699929154793366,2.2477484087635136e-05,0.2768437006376305,
axis_v00_1_p5,ransac_svd_sde,14,831,0.045482992055324634,6.4578392951026055e-06,0.35453463765212634,
axis_v00_1_p5,ransac_svd_sde,26,721,0.045150427451586254,4.599553510992189e-06,0.45097119187530166,
axis_v00_1_p5,ransac_svd_sde,6,797,0.04588493767129649,9.20945824447589e-05,0.49909725182706405,
axis_v00_1_p5,svd,1,409,0.03699929154793366,2.2477484087635136e-05,0.2768437006376305,
axis_v00_1_p5,svd,14,831,0.0189249334228428,3.426257545154818e-05,0.3475671251901763,
axis_v00_1_p5,svd,26,721,0.014624498662524764,3.3005896861134905e-05,0.45097119187530166,
axis_v00_1_p5,svd,6,797,0.024403850669884,3.271604297775249e-05,0.3473418658422248,
axis_v00_1_p5,svd_sde,1,409,0.03699929154793366,2.2477484087635136e-05,0.2768437006376305,
axis_v00_1_p5,svd_sde,14,831,0.0189249334228428,3.426257545154818e-05,0.3475671251901763,
axis_v00_1_p5,svd_sde,26,721,0.014624498662524764,3.3005896861134905e-05,0.45097119187530166,
axis_v00_1_p5,svd_sde,6,797,0.024403850669884,3.271604297775249e-05,0.3473418658422248,
axis_v00_cluster,ransac_svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_cluster,ransac_svd,14,655,0.0499621450637277,4.7305275384174295e-05,0.49497147041772327,
axis_v00_cluster,ransac_svd,26,492,0.0550335822024084,9.5863843874148e-05,0.45053907679558364,
axis_v00_cluster,ransac_svd,6,538,0.045541718950746275,3.4198606840678755e-05,0.46064496522640647,
axis_v00_cluster,ransac_svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_cluster,ransac_svd_sde,14,655,0.0499621450637277,4.7305275384174295e-05,0.49497147041772327,
axis_v00_cluster,ransac_svd_sde,26,492,0.0550335822024084,9.5863843874148e-05,0.45053907679558364,
axis_v00_cluster,ransac_svd_sde,6,538,0.045541718950746275,3.4198606840678755e-05,0.46064496522640647,
axis_v00_cluster,svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_cluster,svd,14,655,0.020853538393023865,1.7193735497452777e-06,0.40860715796334457,
axis_v00_cluster,svd,26,492,0.02440273228598235,0.00015434377140175122,0.45053907679558364,
axis_v00_cluster,svd,6,538,0.024755884001907754,3.4198606840678755e-05,0.2746732094742365,
axis_v00_cluster,svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_cluster,svd_sde,14,655,0.020853538393023865,1.7193735497452777e-06,0.40860715796334457,
axis_v00_cluster,svd_sde,26,492,0.02440273228598235,0.00015434377140175122,0.45053907679558364,
axis_v00_cluster,svd_sde,6,538,0.024755884001907754,3.4198606840678755e-05,0.2746732094742365,
axis_v00_hdbscan_ms2,ransac_svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms2,ransac_svd,14,664,0.03377871631124193,1.9160111116990695e-06,0.40858174972266637,
axis_v00_hdbscan_ms2,ransac_svd,26,506,0.03968739000651751,1.896090517276156e-05,0.45053907679558364,
axis_v00_hdbscan_ms2,ransac_svd,6,547,0.034609888400858504,3.4198606840678755e-05,0.41362606129536894,
axis_v00_hdbscan_ms2,ransac_svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms2,ransac_svd_sde,14,664,0.03377871631124193,1.9160111116990695e-06,0.40858174972266637,
axis_v00_hdbscan_ms2,ransac_svd_sde,26,506,0.03968739000651751,1.896090517276156e-05,0.45053907679558364,
axis_v00_hdbscan_ms2,ransac_svd_sde,6,547,0.034609888400858504,3.4198606840678755e-05,0.41362606129536894,
axis_v00_hdbscan_ms2,svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms2,svd,14,664,0.023330594327121548,1.9160111116990695e-06,0.40860715796334457,
axis_v00_hdbscan_ms2,svd,26,506,0.029315752507334362,6.70979409536707e-05,0.45053907679558364,
axis_v00_hdbscan_ms2,svd,6,547,0.027818991642411788,3.4198606840678755e-05,0.4052983396223494,
axis_v00_hdbscan_ms2,svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms2,svd_sde,14,664,0.023330594327121548,1.9160111116990695e-06,0.40860715796334457,
axis_v00_hdbscan_ms2,svd_sde,26,506,0.029315752507334362,6.70979409536707e-05,0.45053907679558364,
axis_v00_hdbscan_ms2,svd_sde,6,547,0.027818991642411788,3.4198606840678755e-05,0.4052983396223494,
axis_v00_hdbscan_ms3,ransac_svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms3,ransac_svd,14,664,0.034173007274910065,4.1204285058241796e-05,0.4085817497226663,
axis_v00_hdbscan_ms3,ransac_svd,26,506,0.039623615648700976,0.00011834784914480892,0.45053907679558364,
axis_v00_hdbscan_ms3,ransac_svd,6,547,0.03736906823413616,3.419860684067881e-05,0.41362606129536894,
axis_v00_hdbscan_ms3,ransac_svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms3,ransac_svd_sde,14,664,0.034173007274910065,4.1204285058241796e-05,0.4085817497226663,
axis_v00_hdbscan_ms3,ransac_svd_sde,26,506,0.039623615648700976,0.00011834784914480892,0.45053907679558364,
axis_v00_hdbscan_ms3,ransac_svd_sde,6,547,0.03736906823413616,3.419860684067881e-05,0.41362606129536894,
axis_v00_hdbscan_ms3,svd,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
axis_v00_hdbscan_ms3,svd,14,664,0.025177965507072003,4.1204285058241796e-05,0.40860715796334457,
axis_v00_hdbscan_ms3,svd,26,506,0.030365346204680742,0.00011834784914480892,0.45053907679558364,
axis_v00_hdbscan_ms3,svd,6,547,0.02738023814920165,3.419860684067881e-05,0.4052983396223494,
axis_v00_hdbscan_ms3,svd_sde,1,70,0.03919645143175236,0.00033262403149881447,0.22791851843148714,
