experiment,method,n_views,n_objects,sde_ref_mean,sde_ref_min,sde_ref_max,f1_ref
plane_v00,ransac_svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00,ransac_svd,14,698,0.02020495135340344,8.757126270564593e-06,0.30316605969441507,0.11224489795918369
plane_v00,ransac_svd,26,595,0.022797922484778386,1.6127011456009678e-06,0.3062253856846896,0.061962750716332386
plane_v00,ransac_svd,6,496,0.01930795729496541,2.6652133532870467e-06,0.29807639123773416,0.16336206896551725
plane_v00,ransac_svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00,ransac_svd_sde,14,698,0.02020495135340344,8.757126270564593e-06,0.30316605969441507,0.11224489795918369
plane_v00,ransac_svd_sde,26,595,0.022797922484778386,1.6127011456009678e-06,0.3062253856846896,0.061962750716332386
plane_v00,ransac_svd_sde,6,496,0.01930795729496541,2.6652133532870467e-06,0.29807639123773416,0.16336206896551725
plane_v00,svd,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00,svd,14,698,0.016147537817913785,8.757126270564593e-06,0.30316605969441507,0.10714285714285715
plane_v00,svd,26,595,0.016019262093334884,1.6127011456009678e-06,0.3062253856846896,0.06876790830945559
plane_v00,svd,6,496,0.016345828925731293,2.6652133532870467e-06,0.29807639123773416,0.19741379310344825
plane_v00,svd_sde,1,209,0.03015565505163643,0.00012151088088574661,0.30073802802006444,0.0683673469387755
plane_v00,svd_sde,14,698,0.016147537817913785,8.757126270564593e-06,0.30316605969441507,0.10714285714285715
plane_v00,svd_sde,26,595,0.016019262093334884,1.6127011456009678e-06,0.3062253856846896,0.06876790830945559
plane_v00,svd_sde,6,496,0.016345828925731293,2.6652133532870467e-06,0.29807639123773416,0.19741379310344825
plane_v00_1,ransac_svd,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1,ransac_svd,14,825,0.015499168148759008,8.504515531775611e-06,0.2136893288326793,0.07624113475177305
plane_v00_1,ransac_svd,26,769,0.01680828773428728,1.6549867545006639e-06,0.3148760612940034,0.043655097613882865
plane_v00_1,ransac_svd,6,812,0.013259776571562819,8.68524948744765e-07,0.2687940488813989,0.12074303405572756
plane_v00_1,ransac_svd_sde,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1,ransac_svd_sde,14,825,0.015499168148759008,8.504515531775611e-06,0.2136893288326793,0.07624113475177305
plane_v00_1,ransac_svd_sde,26,769,0.01680828773428728,1.6549867545006639e-06,0.3148760612940034,0.043655097613882865
plane_v00_1,ransac_svd_sde,6,812,0.013259776571562819,8.68524948744765e-07,0.2687940488813989,0.12074303405572756
plane_v00_1,svd,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1,svd,14,825,0.0106893321336074,4.025779568971418e-06,0.17017152939878274,0.07624113475177305
plane_v00_1,svd,26,769,0.005871534890165309,1.6549867545006639e-06,0.3148760612940034,0.08947939262472884
plane_v00_1,svd,6,812,0.009527207281179992,8.68524948744765e-07,0.2687940488813989,0.11274509803921569
plane_v00_1,svd_sde,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1,svd_sde,14,825,0.0106893321336074,4.025779568971418e-06,0.17017152939878274,0.07624113475177305
plane_v00_1,svd_sde,26,769,0.005871534890165309,1.6549867545006639e-06,0.3148760612940034,0.08947939262472884
plane_v00_1,svd_sde,6,812,0.009527207281179992,8.68524948744765e-07,0.2687940488813989,0.11274509803921569
plane_v00_1_cluster,ransac_svd,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1_cluster,ransac_svd,14,825,0.015156432174010522,2.1714636628713153e-06,0.2136893288326793,0.07168186423505572
plane_v00_1_cluster,ransac_svd,26,769,0.016454713643853883,8.057115752702671e-06,0.3148760612940034,0.040401301518438175
plane_v00_1_cluster,ransac_svd,6,812,0.012986461197788351,1.1423657095495934e-06,0.26815838399137804,0.11816305469556244
plane_v00_1_cluster,ransac_svd_sde,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1_cluster,ransac_svd_sde,14,825,0.015156432174010522,2.1714636628713153e-06,0.2136893288326793,0.07168186423505572
plane_v00_1_cluster,ransac_svd_sde,26,769,0.016454713643853883,8.057115752702671e-06,0.3148760612940034,0.040401301518438175
plane_v00_1_cluster,ransac_svd_sde,6,812,0.012986461197788351,1.1423657095495934e-06,0.26815838399137804,0.11816305469556244
plane_v00_1_cluster,svd,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1_cluster,svd,14,825,0.010461004219326657,2.1714636628713153e-06,0.17017152939878286,0.08105369807497467
plane_v00_1_cluster,svd,26,769,0.005546324658519271,8.057115752702671e-06,0.3148760612940034,0.07836225596529284
plane_v00_1_cluster,svd,6,812,0.009701175378470617,1.1423657095495934e-06,0.26815838399137804,0.11248710010319916
plane_v00_1_cluster,svd_sde,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1_cluster,svd_sde,14,825,0.010461004219326657,2.1714636628713153e-06,0.17017152939878286,0.08105369807497467
plane_v00_1_cluster,svd_sde,26,769,0.005546324658519271,8.057115752702671e-06,0.3148760612940034,0.07836225596529284
plane_v00_1_cluster,svd_sde,6,812,0.009701175378470617,1.1423657095495934e-06,0.26815838399137804,0.11248710010319916
plane_v00_1_hdbscan_ms2,ransac_svd,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1_hdbscan_ms2,ransac_svd,14,825,0.015901135075144086,2.1058905609466848e-06,0.21368932883267913,0.08409321175278622
plane_v00_1_hdbscan_ms2,ransac_svd,26,769,0.015677216497195137,1.2542567030500732e-05,0.3148760612940034,0.06317787418655098
plane_v00_1_hdbscan_ms2,ransac_svd,6,812,0.011867895241911518,9.475754599183231e-08,0.26815838399137804,0.15144478844169246
plane_v00_1_hdbscan_ms2,ransac_svd_sde,1,518,0.00490872702242967,2.5431663575835123e-05,0.11450673269056469,0.4504065040650407
plane_v00_1_hdbscan_ms2,ransac_svd_sde,14,825,0.015901135075144086,2.1058905609466848e-06,0.21368932883267913,0.08409321175278622
plane_v00_1_hdbscan_ms2,ransac_svd_sde,26,769,0.015677216497195137,1.2542567030500732e-05,0.3148760612940034,0.06317787418655098
