experiment,method,n_views,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg
axis_v00,ransac_svd_sde,1,8,62.6989,75.8477,29.954,0.088446,0.055959,0.077447,0.1737,2.0,0.0,0.125,0.125
axis_v00,ransac_svd_sde,6,65,40.0255,31.1854,30.0755,0.104819,0.085172,0.085787,0.3615,6.74,0.0923,0.2154,0.2923
axis_v00,ransac_svd_sde,14,84,44.6129,40.7018,32.1645,0.102868,0.067094,0.088346,0.3261,12.17,0.0476,0.2381,0.3095
axis_v00,ransac_svd_sde,26,58,47.0102,52.2422,34.1464,0.114221,0.088384,0.08988,0.3354,14.41,0.1207,0.2586,0.2931
axis_v00,ransac_svd,1,8,62.6989,75.8477,29.954,0.088446,0.055959,0.077447,0.1737,2.0,0.0,0.125,0.125
axis_v00,ransac_svd,6,65,40.0255,31.1854,30.0755,0.104819,0.085172,0.085787,0.3615,6.74,0.0923,0.2154,0.2923
axis_v00,ransac_svd,14,84,44.6129,40.7018,32.1645,0.102868,0.067094,0.088346,0.3261,12.17,0.0476,0.2381,0.3095
axis_v00,ransac_svd,26,58,47.0102,52.2422,34.1464,0.114221,0.088384,0.08988,0.3354,14.41,0.1207,0.2586,0.2931
axis_v00,svd_sde,1,8,62.6989,75.8477,29.954,0.088446,0.055959,0.077447,0.1737,2.0,0.0,0.125,0.125
axis_v00,svd_sde,6,65,35.0578,24.1671,30.463,0.080939,0.057695,0.066576,0.4412,6.74,0.1231,0.2923,0.4154
axis_v00,svd_sde,14,84,35.0603,21.7491,31.7814,0.07015,0.052625,0.056178,0.4524,12.17,0.1548,0.381,0.4405
axis_v00,svd_sde,26,58,41.9388,30.7161,34.4426,0.066553,0.060559,0.052206,0.3975,14.41,0.1552,0.3103,0.3793
axis_v00,svd,1,8,62.6989,75.8477,29.954,0.088446,0.055959,0.077447,0.1737,2.0,0.0,0.125,0.125
axis_v00,svd,6,65,35.0578,24.1671,30.463,0.080939,0.057695,0.066576,0.4412,6.74,0.1231,0.2923,0.4154
axis_v00,svd,14,84,35.0603,21.7491,31.7814,0.07015,0.052625,0.056178,0.4524,12.17,0.1548,0.381,0.4405
axis_v00,svd,26,58,41.9388,30.7161,34.4426,0.066553,0.060559,0.052206,0.3975,14.41,0.1552,0.3103,0.3793
axis_v01,ransac_svd_sde,6,35,44.2951,40.9804,28.785,0.078983,0.081903,0.047002,0.2943,3.29,0.0,0.1143,0.1714
axis_v01,ransac_svd_sde,14,59,52.4345,58.2413,27.6216,0.080861,0.078068,0.050434,0.199,5.1,0.0339,0.0847,0.1695
axis_v01,ransac_svd_sde,26,68,49.3572,53.1608,30.0023,0.064397,0.049439,0.048944,0.2615,7.75,0.0147,0.0882,0.2206
axis_v01,ransac_svd,6,35,44.2951,40.9804,28.785,0.078983,0.081903,0.047002,0.2943,3.29,0.0,0.1143,0.1714
axis_v01,ransac_svd,14,59,52.4345,58.2413,27.6216,0.080861,0.078068,0.050434,0.199,5.1,0.0339,0.0847,0.1695
axis_v01,ransac_svd,26,68,49.3572,53.1608,30.0023,0.064397,0.049439,0.048944,0.2615,7.75,0.0147,0.0882,0.2206
axis_v01,svd_sde,6,35,39.5014,29.7082,29.3506,0.079822,0.084884,0.047825,0.3617,3.29,0.0857,0.2,0.2286
axis_v01,svd_sde,14,59,46.1472,45.5583,29.8353,0.076854,0.071239,0.047383,0.2964,5.1,0.0339,0.1017,0.2203
axis_v01,svd_sde,26,68,43.8546,46.8261,29.418,0.062896,0.054901,0.039592,0.3162,7.75,0.0441,0.1471,0.2647
axis_v01,svd,6,35,39.5014,29.7082,29.3506,0.079822,0.084884,0.047825,0.3617,3.29,0.0857,0.2,0.2286
axis_v01,svd,14,59,46.1472,45.5583,29.8353,0.076854,0.071239,0.047383,0.2964,5.1,0.0339,0.1017,0.2203
axis_v01,svd,26,68,43.8546,46.8261,29.418,0.062896,0.054901,0.039592,0.3162,7.75,0.0441,0.1471,0.2647
axis_v02,ransac_svd_sde,6,10,59.0434,53.335,24.2538,0.091241,0.086913,0.055985,0.0995,3.6,0.0,0.0,0.0
axis_v02,ransac_svd_sde,14,24,52.4438,58.7089,29.7994,0.067363,0.052348,0.048713,0.2242,4.33,0.0417,0.125,0.125
axis_v02,ransac_svd_sde,26,29,60.6779,69.9892,23.4794,0.063029,0.045518,0.044879,0.1031,5.93,0.0345,0.0345,0.069
axis_v02,ransac_svd,6,10,59.0434,53.335,24.2538,0.091241,0.086913,0.055985,0.0995,3.6,0.0,0.0,0.0
axis_v02,ransac_svd,14,24,52.4438,58.7089,29.7994,0.067363,0.052348,0.048713,0.2242,4.33,0.0417,0.125,0.125
axis_v02,ransac_svd,26,29,60.6779,69.9892,23.4794,0.063029,0.045518,0.044879,0.1031,5.93,0.0345,0.0345,0.069
