experiment,method,n_views,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg,sde_mean,sde_median,sde_std,auc_sde,precision_sde_010,precision_sde_020
plane_v00,ransac_svd_sde,1,28,72.6113,86.478,28.7503,0.018843,0.007431,0.031504,0.1286,2.0,0.1071,0.1429,0.1429,0.238269,0.235685,0.105126,0.0113,0.0,0.0
plane_v00,ransac_svd_sde,6,40,44.439,40.9146,36.9116,0.028072,0.004144,0.068022,0.3928,3.25,0.325,0.375,0.375,0.258579,0.238067,0.169185,0.0663,0.0,0.025
plane_v00,ransac_svd_sde,14,63,66.8401,85.7307,31.9621,0.01688,0.005156,0.047398,0.1662,11.97,0.0952,0.127,0.1746,0.271723,0.231356,0.201118,0.0529,0.0,0.0159
plane_v00,ransac_svd_sde,26,64,67.0236,82.4171,29.5943,0.047059,0.010701,0.09647,0.1439,19.91,0.0781,0.1094,0.1094,0.232058,0.205217,0.159868,0.055,0.0,0.0156
plane_v00,ransac_svd,1,28,72.6113,86.478,28.7503,0.018843,0.007431,0.031504,0.1286,2.0,0.1071,0.1429,0.1429,0.238269,0.235685,0.105126,0.0113,0.0,0.0
plane_v00,ransac_svd,6,40,44.439,40.9146,36.9116,0.028072,0.004144,0.068022,0.3928,3.25,0.325,0.375,0.375,0.258579,0.238067,0.169185,0.0663,0.0,0.025
plane_v00,ransac_svd,14,63,66.8401,85.7307,31.9621,0.01688,0.005156,0.047398,0.1662,11.97,0.0952,0.127,0.1746,0.271723,0.231356,0.201118,0.0529,0.0,0.0159
plane_v00,ransac_svd,26,64,67.0236,82.4171,29.5943,0.047059,0.010701,0.09647,0.1439,19.91,0.0781,0.1094,0.1094,0.232058,0.205217,0.159868,0.055,0.0,0.0156
plane_v00,svd_sde,1,28,72.6113,86.478,28.7503,0.018843,0.007431,0.031504,0.1286,2.0,0.1071,0.1429,0.1429,0.238269,0.235685,0.105126,0.0113,0.0,0.0
plane_v00,svd_sde,6,40,42.9732,37.659,37.0024,0.025016,0.004464,0.066544,0.4143,3.25,0.35,0.4,0.4,0.251711,0.214854,0.168252,0.063,0.0,0.025
plane_v00,svd_sde,14,63,63.5097,83.0013,31.8129,0.015354,0.002531,0.047801,0.1803,11.97,0.0952,0.127,0.1746,0.240468,0.199594,0.169634,0.0543,0.0,0.0
plane_v00,svd_sde,26,64,65.789,84.5152,31.1855,0.040184,0.005737,0.095664,0.1652,19.91,0.0625,0.125,0.1406,0.216246,0.193362,0.128999,0.0505,0.0,0.0156
plane_v00,svd,1,28,72.6113,86.478,28.7503,0.018843,0.007431,0.031504,0.1286,2.0,0.1071,0.1429,0.1429,0.238269,0.235685,0.105126,0.0113,0.0,0.0
plane_v00,svd,6,40,42.9732,37.659,37.0024,0.025016,0.004464,0.066544,0.4143,3.25,0.35,0.4,0.4,0.251711,0.214854,0.168252,0.063,0.0,0.025
plane_v00,svd,14,63,63.5097,83.0013,31.8129,0.015354,0.002531,0.047801,0.1803,11.97,0.0952,0.127,0.1746,0.240468,0.199594,0.169634,0.0543,0.0,0.0
plane_v00,svd,26,64,65.789,84.5152,31.1855,0.040184,0.005737,0.095664,0.1652,19.91,0.0625,0.125,0.1406,0.216246,0.193362,0.128999,0.0505,0.0,0.0156
plane_v01,ransac_svd_sde,6,48,27.1269,17.1926,25.3873,0.010307,0.00534,0.014495,0.5088,2.5,0.1875,0.3542,0.4583,0.370488,0.352608,0.180205,0.006,0.0,0.0
plane_v01,ransac_svd_sde,14,60,43.9451,44.9163,32.6398,0.017091,0.005272,0.037788,0.3385,4.18,0.1167,0.2167,0.2833,0.315456,0.315528,0.194517,0.0413,0.0,0.0167
plane_v01,ransac_svd_sde,26,75,44.2629,40.4639,33.593,0.015848,0.007641,0.022036,0.3521,7.57,0.12,0.2133,0.3333,0.35196,0.355235,0.190311,0.0399,0.0,0.0
plane_v01,ransac_svd,6,48,27.1269,17.1926,25.3873,0.010307,0.00534,0.014495,0.5088,2.5,0.1875,0.3542,0.4583,0.370488,0.352608,0.180205,0.006,0.0,0.0
plane_v01,ransac_svd,14,60,43.9451,44.9163,32.6398,0.017091,0.005272,0.037788,0.3385,4.18,0.1167,0.2167,0.2833,0.315456,0.315528,0.194517,0.0413,0.0,0.0167
plane_v01,ransac_svd,26,75,44.2629,40.4639,33.593,0.015848,0.007641,0.022036,0.3521,7.57,0.12,0.2133,0.3333,0.35196,0.355235,0.190311,0.0399,0.0,0.0
