experiment,method,n_views,n_total,n_objects,angular_error_mean,angular_error_median,angular_error_std,translation_error_mean,translation_error_median,translation_error_std,auc_angular,n_points_mean,precision_5deg,precision_10deg,precision_15deg
axis_v00,ransac_svd_sde,1,100,7,88.0782,90.0,11.1819,0.100291,0.073323,0.076227,0.0142,2.0,0.0,0.01,0.01
axis_v00,ransac_svd_sde,6,100,67,62.2331,72.5973,29.9542,0.081643,0.06378,0.068342,0.1608,7.04,0.04,0.07,0.12
axis_v00,ransac_svd_sde,14,100,74,57.872,68.2282,32.3924,0.095189,0.068151,0.082724,0.2133,12.54,0.03,0.11,0.16
axis_v00,ransac_svd_sde,26,100,61,67.8236,87.5292,30.806,0.104752,0.079339,0.083485,0.1515,15.38,0.02,0.1,0.14
axis_v00,ransac_svd,1,100,7,88.0782,90.0,11.1819,0.100291,0.073323,0.076227,0.0142,2.0,0.0,0.01,0.01
axis_v00,ransac_svd,6,100,67,62.2331,72.5973,29.9542,0.081643,0.06378,0.068342,0.1608,7.04,0.04,0.07,0.12
axis_v00,ransac_svd,14,100,74,57.872,68.2282,32.3924,0.095189,0.068151,0.082724,0.2133,12.54,0.03,0.11,0.16
axis_v00,ransac_svd,26,100,61,67.8236,87.5292,30.806,0.104752,0.079339,0.083485,0.1515,15.38,0.02,0.1,0.14
axis_v00,svd_sde,1,100,7,88.0782,90.0,11.1819,0.100291,0.073323,0.076227,0.0142,2.0,0.0,0.01,0.01
axis_v00,svd_sde,6,100,67,59.9126,72.3454,32.1182,0.051418,0.045197,0.039558,0.1982,7.04,0.07,0.11,0.17
axis_v00,svd_sde,14,100,74,53.6346,63.4008,33.5701,0.049622,0.037242,0.045574,0.262,12.54,0.07,0.15,0.24
axis_v00,svd_sde,26,100,61,61.9691,85.8624,35.5163,0.049026,0.040827,0.045568,0.2371,15.38,0.07,0.17,0.24
axis_v00,svd,1,100,7,88.0782,90.0,11.1819,0.100291,0.073323,0.076227,0.0142,2.0,0.0,0.01,0.01
axis_v00,svd,6,100,67,59.9126,72.3454,32.1182,0.051418,0.045197,0.039558,0.1982,7.04,0.07,0.11,0.17
axis_v00,svd,14,100,74,53.6346,63.4008,33.5701,0.049622,0.037242,0.045574,0.262,12.54,0.07,0.15,0.24
axis_v00,svd,26,100,61,61.9691,85.8624,35.5163,0.049026,0.040827,0.045568,0.2371,15.38,0.07,0.17,0.24
axis_v01,ransac_svd_sde,6,100,40,74.5123,90.0,25.4306,0.053391,0.046175,0.034943,0.0761,2.73,0.0,0.06,0.07
axis_v01,ransac_svd_sde,14,100,59,66.0751,81.962,28.9394,0.067616,0.064377,0.040387,0.1327,5.24,0.01,0.05,0.09
axis_v01,ransac_svd_sde,26,100,58,68.5175,86.6315,29.2705,0.064338,0.054312,0.038186,0.1332,7.88,0.02,0.09,0.11
axis_v01,ransac_svd,6,100,40,74.5123,90.0,25.4306,0.053391,0.046175,0.034943,0.0761,2.73,0.0,0.06,0.07
axis_v01,ransac_svd,14,100,59,66.0751,81.962,28.9394,0.067616,0.064377,0.040387,0.1327,5.24,0.01,0.05,0.09
axis_v01,ransac_svd,26,100,58,68.5175,86.6315,29.2705,0.064338,0.054312,0.038186,0.1332,7.88,0.02,0.09,0.11
axis_v01,svd_sde,6,100,40,75.669,90.0,25.1748,0.048257,0.037543,0.035524,0.0782,2.73,0.0,0.07,0.07
axis_v01,svd_sde,14,100,59,64.4003,81.8417,30.5265,0.053004,0.047421,0.031476,0.1551,5.24,0.03,0.07,0.13
