object_id,angular_error_deg,sde,translation_error,n_points
151fccb37c2d51b0b82fa571a1cdbf24,89.39,0.017901,0.002642,4
2731687dd460a263d8eae9bce48bbeed,90.0,0.043435,0.011461,3
31a85a1a9bb22c3bf1e23636310b7e7a,89.9871,0.042509,0.03972,3
35a0ea7e7f9eac13321831d2245cf06,86.2595,0.0432,0.008903,4
3c855f2a52d5e3f63c8d0fdfb1cc2535,85.8924,0.019784,0.101879,2
41da6df6f2a4e48b5e4e23ed78187234,88.3138,0.044367,0.002254,4
53ad4a901e8b0dd9121859336e292a5d,87.5667,0.036148,5e-06,2
b8a2c7c7df404ab8e7ef9fff09638f8e,86.7395,0.021875,0.000928,3
b94b76056a072784685e443e0ea51d93,89.9909,0.020168,2e-06,4
bd586b69c27f05c8fcb3c6c0ffedec6,89.38,0.022018,0.139753,3
c625f1771e40e374e1c27dfba919adc5,89.752,0.02856,0.136742,3
d8f6aaa777f0cd4f5a31d91ec836a511,86.8089,0.037145,0.202206,2
