object_id,group,dist_origin_centroid_norm,sphericity,n_points
151fccb37c2d51b0b82fa571a1cdbf24,discordant,0.0226,0.5917,4
2731687dd460a263d8eae9bce48bbeed,discordant,0.1424,0.67,3
31a85a1a9bb22c3bf1e23636310b7e7a,discordant,0.0497,0.741,3
35a0ea7e7f9eac13321831d2245cf06,discordant,0.0099,0.3926,4
3c855f2a52d5e3f63c8d0fdfb1cc2535,discordant,0.4349,0.7037,2
41da6df6f2a4e48b5e4e23ed78187234,discordant,0.0394,0.5049,4
496f1d6cdd0a0aa247b74f4d1238a1fd,control,0.2271,0.6867,2
536cbcc72e3f648fb362845c6edb57fc,control,0.1565,0.7335,3
53ad4a901e8b0dd9121859336e292a5d,discordant,0.0981,0.8245,2
608f7c4d52bbfeec9f00d9b3defbf21d,control,0.2435,0.9274,3
67967d0213be8b199fa004564ade09f8,control,0.3325,0.7957,3
6bf0f5e06cb748bb9671c58246946ed6,control,0.1076,0.6905,3
82d8391c62e197161282d4d9178caa92,control,0.1867,0.8269,3
8834560018510194d8caaf6298f89d14,control,0.2624,0.6473,3
b8a2c7c7df404ab8e7ef9fff09638f8e,discordant,0.5365,0.3936,3
b94b76056a072784685e443e0ea51d93,discordant,0.0087,0.7864,4
bd586b69c27f05c8fcb3c6c0ffedec6,discordant,0.1643,0.4051,3
c625f1771e40e374e1c27dfba919adc5,discordant,0.1375,0.6212,3
d63a5fa4070c41c87b0af550cd1619e2,control,0.2646,0.8331,3
d8f6aaa777f0cd4f5a31d91ec836a511,discordant,0.2649,0.746,2
de65da5cdc92b4aebc0909d98a1ff2b4,control,0.1854,0.6439,2
