group,experiment_id,angular_error_deg
independent,axis_v00,61.8689
independent,axis_v00,56.4505
independent,axis_v00,83.9216
independent,axis_v00,8.743
independent,axis_v00,78.0262
independent,axis_v00,8.5053
independent,axis_v00,2.9156
independent,axis_v00,10.6961
independent,axis_v00,20.381
independent,axis_v00,81.4565
independent,axis_v00,3.0588
independent,axis_v00,2.5528
independent,axis_v00,85.827
independent,axis_v00,4.251
independent,axis_v00,87.2585
independent,axis_v00,9.1019
independent,axis_v00,14.7751
independent,axis_v00,85.5352
independent,axis_v00,28.966
independent,axis_v00,82.78
independent,axis_v00,10.0101
independent,axis_v00,12.3294
independent,axis_v00,2.6215
independent,axis_v00,6.1199
independent,axis_v00,18.0479
independent,axis_v00,85.8979
independent,axis_v00,4.8985
independent,axis_v00,22.3238
independent,axis_v00,6.4231
independent,axis_v00,74.292
independent,axis_v00,88.0524
independent,axis_v00,7.1317
independent,axis_v00,30.5883
independent,axis_v00,11.9403
independent,axis_v00,82.0027
independent,axis_v00,24.9902
independent,axis_v00,5.603
independent,axis_v00,72.2056
independent,axis_v00,81.4407
independent,axis_v00,90.0
independent,axis_v00,88.4888
independent,axis_v00,7.3132
independent,axis_v00,72.935
independent,axis_v00,39.0045
independent,axis_v00,24.3261
independent,axis_v00,88.4342
independent,axis_v00,6.7243
independent,axis_v00,74.6453
independent,axis_v00,11.693
independent,axis_v00,87.8473
independent,axis_v00,75.8508
independent,axis_v00,33.2651
independent,axis_v00,1.6845
independent,axis_v00,89.9999
independent,axis_v00,68.7948
independent,axis_v00,89.9995
independent,axis_v00,11.3331
independent,axis_v00,86.2411
independent,axis_v00,89.5825
independent,axis_v00,78.3501
independent,axis_v00,6.4044
independent,axis_v00,6.4878
independent,axis_v00,11.2116
independent,axis_v00,9.1115
independent,axis_v00,22.6377
independent,axis_v00,2.2173
independent,axis_v00,6.1744
independent,axis_v00,4.4614
independent,axis_v00,49.0323
independent,axis_v00,86.7368
independent,axis_v00,15.2874
independent,axis_v00,80.0886
independent,axis_v00,89.7132
independent,axis_v00,34.8857
independent,axis_v00,55.4802
independent,axis_v00,8.1013
independent,axis_v00,88.258
