label,object_id,angular_error_deg,sde,dist_origin_centroid_norm,sphericity
direct,10654ea604644c8eca7ed590d69b9804,53.3247,0.402052,0.053905111552777114,0.7658071133865062
direct,1074bdcb3c2032fe0f3f8b6e1796773,3.6035,0.743957,0.1598791967456034,0.7496867329528036
direct,109a19840a8fbc774c3aee8e9d3a6ffa,3.2865,0.233905,0.37276483771044794,0.7204701549506902
direct,10b54fe832a00c3ec59350d819542ec7,3.3801,0.697715,0.33549394263031534,0.6992937602989251
direct,10c484963692d3c87d40405e5ee68b4f,3.2867,0.161053,0.44175829403518047,0.7553362156131945
direct,11224ef64e1702b412e0c474ff07001f,3.3173,0.360662,0.17851373553530434,0.7251410906534798
direct,115aa37af1a07d24a5a88312547ed863,3.7326,0.102813,0.224639549607881,0.668751574922749
direct,124cd036611b65b514038d588fd1342f,3.1213,0.346449,0.48366302230691416,0.6398237608748876
direct,1298634053ad50d36d07c55cf995503e,11.5461,0.101933,0.11191611211921697,0.815355221656313
direct,12ae14d584758b4ee42c56c78fb88524,24.2995,0.54086,0.0951011759385145,0.6848992378161983
direct,12de47490769694e490ad276cd2af3a4,3.2702,0.647038,0.40948926919550177,0.7664104537634209
direct,139478e7e85aabf27274021d5552b63f,57.4532,0.120612,0.1408030339138853,0.7560908344411353
direct,13ec1052a32ca23bfd60059ad8523f1a,3.6171,0.53712,0.16299376374231364,0.7505671234065261
direct,141616a00df67c351082f2ea630bf69e,3.5902,0.191031,0.07782832023078878,0.6479993774037132
direct,1422f82a72e0b7f48ae1c1abea367249,23.4124,0.692181,0.04552259265409351,0.6829539143130486
direct,146fb2790c11c7f1aaf6c17538652a1d,47.1871,0.466077,0.036212001287814245,0.664725164677755
direct,150ad6a5c35beb17ee79d445a3ad4fd4,15.3459,0.182433,0.6282358518108349,0.23163487820566453
direct,151fccb37c2d51b0b82fa571a1cdbf24,5.7387,0.420491,0.1430657105377332,0.5916996547505955
direct,1541e36e8dc2d84caed2201239784a35,4.1266,0.603724,0.06685076629446032,0.7324356257272125
direct,15cb1696b45ef647dcad484e89744ca,3.5511,0.786689,0.0660167215596928,0.7636339326131236
direct,15e2d1fe9a4b28e68fb8c03013603b0c,3.7042,0.20463,0.1219513182280171,0.6898210455426965
direct,15ed07a6b7265f802056b4bd5d870b47,3.5364,0.792703,0.03558803339533136,0.688808959216342
direct,15fd978b59889cdc30bbd4cddd04c77b,43.7492,0.434343,0.1951651103750814,0.7582289384822096
direct,16edf6f6574568723f7198a00163bb6,3.7782,0.151296,0.03945954459927069,0.4816161746031939
direct,189c1ffb58c74c3bccd0340812259a39,4.0062,0.417792,0.11569049004707727,0.711303176150164
direct,18da35f3835f75bffb5c1b0f759e2bc1,35.6803,0.082965,0.04193929012183867,0.56949238462586
direct,18f57a3d41117140ed98cca8f0ccd5f7,8.2475,0.766068,0.10418935321088628,0.7183427388283955
direct,193572f57626a97c65e6a15e0a997e5c,3.3935,0.127733,0.13240583792397725,0.7143950008674022
direct,19d52509d16a9c2c81faebbdea6bd9be,6.9803,0.458471,0.06910738039831685,0.7697972239615348
direct,1a10879bcfca0534f8bc1f8036e08e44,3.8648,0.527826,0.03334017738724339,0.7296902777728252
direct,1a1ff0c5f28f10d642e265df80f79372,86.7234,0.443706,0.32358789124936443,0.8142548323789074
direct,1a3a4611409e306c1a832e2972cd1e0d,12.5571,0.142295,0.2564617263818394,0.7735118180173786
direct,1ad4c572e0fd6a576e1e9a13188ab4bb,3.7328,0.260231,0.3625673613325707,0.7290234897497285
direct,1af852e72c44954b8bd91d7cadd7c123,3.7067,0.088141,0.08880560758722508,0.6788627875607672
direct,1b80cd42474a990ccd8655d05e2f9e02,3.3671,0.53943,0.057562743121643056,0.7182500995492781
direct,1bace34d2c1dc49b3b5ee89f1f802f5a,5.0905,0.469547,0.03702326860933366,0.7453273761609568
direct,1cbbb30e8e06e932ed98cca8f0ccd5f7,31.6654,0.65185,0.11596349510007885,0.734145167583516
direct,1cbfb1c063b34ab4ab379c9b5bf12bf8,3.9584,0.078986,0.24357968414483266,0.5877756686083453
direct,1d527bbed4d12817fa3bb91f4e3cd35f,3.922,0.15323,0.06521476279002278,0.6272304161081053
direct,1dc8e88da760f186ccd0340812259a39,3.5578,0.349303,0.12803632421526343,0.6973361820141937
direct,1dd3f80712873a638f6095a93258c867,2.5575,0.634926,0.5987776750704894,0.49057289612943683
direct,1ddcb6107e5b08f39206ca9600b83578,2.8678,0.15065,0.2943945054544386,0.7394342849024268
direct,1edaab172fcc23ab5238dc5d98b43ffd,1.3402,0.11275,0.20270143034417903,0.6146228133748652
direct,1f4b16094bd83af82d2d2896f4b277fc,8.2728,0.477198,0.24397586537074736,0.6739442755654258
direct,1f6046149060eb81cbde89e0c48a01bf,4.1009,0.507717,0.12861724163526814,0.8451155157625533
direct,1fb2be490f45ec6e19fb4103277a6b93,3.7276,0.795359,0.01399790850007036,0.5988674414791066
direct,1fd1d459e79ad6c1c3bd24f986301745,4.0113,0.461161,0.13773207371970775,0.7035667028623426
direct,200c5297948bf57f6b448b8aaebb705c,3.8447,0.259057,0.1316554403364994,0.6749481172312869
direct,20bf71868949fba4b445ec1f6a39e0b8,3.4186,0.688193,0.07548977834389269,0.7648928656943653
direct,20f41c44148871104c3aee8e9d3a6ffa,4.3034,0.251581,0.36260283125762405,0.7317860567430825
direct,21224eab2d099f5012de5317fe5b354f,7.8443,0.303511,0.19694865054675695,0.813239012158207
direct,2193f3624198ede23f0af1eceae2dd4,3.431,0.042387,0.1012337247162468,0.6183000598396879
direct,2197384551252127ecb01d351e78a9e7,3.0666,0.083833,0.1794840594987792,0.6670742982992528
direct,21de0761d0f8f2f9342b2a88bd008cbe,6.8804,0.282938,0.24892325906734303,0.8725425108092428
direct,21e7b25522c63209cb2a965e75be701c,3.5893,0.761685,0.06699517798447935,0.6912332001246313
direct,21feae1212b07575f23c3116d040903f,4.5002,0.094223,0.03342449205068938,0.6728466300615529
direct,2220c6ade811851cc13e020d985215e3,4.1148,0.589694,0.013945558811408252,0.8491748988317388
direct,2231d841b91eb6d53321831d2245cf06,86.459,0.539344,0.10155976812888882,0.7289038857601075
direct,2292b067ccd1bb2dff93e4ecafd3dedd,3.2746,0.14359,0.1960238523810434,0.7056138118360039
direct,23325f47d2a812351165bc0a3b02b27f,3.6007,0.479027,0.017233728039285644,0.7908145171392114
direct,2336a8ba5ba8a9f0ce029fab54b6cfbd,87.445,0.047428,0.14121197600484103,0.7337738393390149
direct,2346b4f87a4f683b92e6829c9c63f7e8,3.5559,0.508699,0.015851171032303154,0.790167708084789
direct,23637357c4e5efb653c80c0a3ef7382,2.9816,0.609051,0.4519297899807883,0.8152217524847324
direct,23b7a3961eda17df4da5feafe6f1c8fc,23.6187,0.253553,0.20585969676788576,0.720287527835999
direct,23fcaafbeabc092f921e793cb951210d,21.7097,0.573859,0.1984375677176761,0.754454030434961
direct,248ff0771f1eb286f51f77a6d7299806,3.0459,0.30057,0.2785306264149466,0.7457155490363118
direct,24beb61e46bf6b1970d557f49392fb1,3.5543,0.231845,0.10202361782334335,0.7120362119678953
direct,2544d05396cf1c91bc19762eaa7ba40f,3.9936,0.467064,0.2020326033037653,0.7038660568405619
direct,2555c9df5fa919692250bf58700b4d8f,86.5316,0.530034,0.06492312102824836,0.7301882844188664
direct,25709b9ab8facc1b3321831d2245cf06,4.2846,0.51744,0.09288423373596921,0.7481020323672004
